,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,frère,brother
9,car,because
10,mettre,to put
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,donner,give
32,leurs,their
33,donné,given
34,corps,body
35,yeux,eyes
36,façon,way
37,écoute,listen
38,dont,whose
39,perdu,lost
40,main,hand
41,première,first
42,côté,side
43,vieux,old
44,sois,be
45,tiens,here
46,matin,morning
47,enfant,child
48,venu,came
49,pardon,sorry
50,venez,come
51,devant,in front of
52,vers,towards
53,minutes,minutes
54,demandé,request
55,chambre,bedroom
56,mis,placed
57,droit,law
58,aimerais,would like to
59,aujourd'hui,today
60,cause,cause
61,enfin,finally
62,espère,hope
63,attendez,Wait
64,nouvelle,new
65,boulot,job
66,arrêter,Stop
67,dirait,would say
68,terre,Earth
69,compte,account
70,donne,given
71,loin,far
72,fin,end
73,croire,believe
74,chérie,sweetheart
75,gros,large
76,aura,will have
77,filles,girls
78,jouer,to play
79,bureau,office
